Name,Building,Doc Type
CTY_PEFacilityRemodel-ShowerLockerBuilding_Drawing_19770311.pdf,Physical Education (P1),Dwg-03 AsBuilt/Record
CTY_PumpReplacement_Drawing_20021212.pdf,Physical Education (P1),Dwg-03 AsBuilt/Record
CTY_ReplaceHeatingVentingUnits_Drawing_20000204.pdf,Physical Education (P1),Dwg-03 AsBuilt/Record
CTY_ShowerLockerBuilding-MEP_AsBuilt_19650201_3of3.pdf,Physical Education (P1),Dwg-03 AsBuilt/Record
CTY_ShowerLockerBuilding-S_AsBuilt_19650201_2of3.pdf,Physical Education (P1),Dwg-03 AsBuilt/Record
CTY_ShowerLockerBuilding-A_AsBuilt_19660201_1of3.pdf,Physical Education (P1),Dwg-03 AsBuilt/Record
CTY_ShowerLockerBuilding_AsBuilt_19641002.pdf,Physical Education (P1),Dwg-03 AsBuilt/Record
CTY_PBuildingRenovation-R_DSAApproved_20071121_3of3.pdf,Physical Education (P1),Dwg-02 Permit
CTY_PBuildingRenovation-SMEP_DSAApproved_20071121_2of3.pdf,Physical Education (P1),Dwg-02 Permit
CTY_PBuildingRenovation-A_DSAApproved_20071121_1of3.pdf,Physical Education (P1),Dwg-02 Permit
CTY_TeleconferencingCenter_BidSet_19990331_2of2.pdf,Education Technology Center (B),Dwg-05 Other
CTY_TeleconferencingCenter_BidSet_19990331_1of2.pdf,Education Technology Center (B),Dwg-05 Other
CTY_TeleconferencingCenter_AsBuilt_20010131_2of2.pdf,Education Technology Center (B),Dwg-03 AsBuilt/Record
CTY_TeleconferencingCenter_AsBuilt_20010131_1of2.pdf,Education Technology Center (B),Dwg-03 AsBuilt/Record
CTY_EveningCollege-AdministrationBuilding_AsBuilt_19731213.pdf,Program Administration (E),Dwg-03 AsBuilt/Record
CTY_E2A-E2E-OfficeRemodel_Drawing_19880216.pdf,Program Administration (E),Dwg-03 AsBuilt/Record
CTY_EveningCollege-AdministrationBuilding-Alt3_Drawing_19770801.pdf,Program Administration (E),Dwg-03 AsBuilt/Record
CTY_EveningCollegeAdminRemodel-Ph2_Drawing_19800623.pdf,Program Administration (E),Dwg-03 AsBuilt/Record
CTY_Office-RestroomsRemodel_Drawing_19780307.pdf,Program Administration (E),Dwg-03 AsBuilt/Record
CTY_ReroofingProject_Drawing_20020329.pdf,Program Administration (E),Dwg-03 AsBuilt/Record
CTY_RooftopAirConditioningUnitReplacement_Drawing_20041006.pdf,Program Administration (E),Dwg-03 AsBuilt/Record
CTY_FireAlarmUpgrade_DSAApproved_20060110.pdf,Child Development Center (F),Dwg-02 Permit
CTY_ChildDevelopmentCenter_Drawing_19980527.pdf,Child Development Annex (F2),Dwg-03 AsBuilt/Record
CTY_ReplaceCoolingTower_Drawing_19870120.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_AirCooledChillerInstallation_Drawing_20000229.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_ChillerAddition_AsBuilt_19850108.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_ElectricalRoomsRemodel_Drawing_19770517.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_ElectricalRoomsRemodel_Drawing_19761118.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_Library-IndependentLearningCenterRemodel_Drawing_19770419.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_LibraryBuilding-MEP_AsBuilt_19690129_3of3.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_LibraryBuilding-S_AsBuilt_19690129_2of3.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_LibraryBuilding-A_AsBuilt_19690129_1of3.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_ReplaceAirHandlerUnits_Drawing_19940328.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_Reroofing-1-FloorPlan_Drawing_19900507.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_ReroofingProject_Drawing_20100521.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_L128-Remodel_Drawing_19980127.pdf,Academic Success (L),Dwg-03 AsBuilt/Record
CTY_AcademicSuccessCenter-MEP_BidSet_20070925_2of2.pdf,Academic Success (L),Dwg-05 Other
CTY_AcademicSuccessCenter-GA_BidSet_20070925_1of2.pdf,Academic Success (L),Dwg-05 Other
CTY_AcademicSuccessCenter-MEP_DSAApproved_20051123_2of2.pdf,Academic Success (L),Dwg-02 Permit
CTY_AcademicSuccessCenter-GAS_DSAApproved_20051123_1of2.pdf,Academic Success (L),Dwg-02 Permit
CTY_AcademicSuccessCenter-SmallScale_Drawing_20080919.pdf,Academic Success (L),Dwg-05 Other
CTY_LearningResouceCenter-MEP_DSAApproved_19991102_4of4.pdf,Learning Resource Center (R),Dwg-02 Permit
CTY_LearningResouceCenter-S_DSAApproved_19991102_3of4.pdf,Learning Resource Center (R),Dwg-02 Permit
CTY_LearningResouceCenter-A_DSAApproved_19991102_2of4.pdf,Learning Resource Center (R),Dwg-02 Permit
CTY_LearningResouceCenter-GCL_DSAApproved_19991102_1of4.pdf,Learning Resource Center (R),Dwg-02 Permit
CTY_LearningResouceCenter-MEP_AsBuilt_19991102_4of4.pdf,Learning Resource Center (R),Dwg-03 AsBuilt/Record
CTY_LearningResouceCenter-S_AsBuilt_19991102_3of4.pdf,Learning Resource Center (R),Dwg-03 AsBuilt/Record
CTY_LearningResouceCenter-A_AsBuilt_19991102_2of4.pdf,Learning Resource Center (R),Dwg-03 AsBuilt/Record
CTY_LearningResouceCenter-GCL_AsBuilt_19991102_1of4.pdf,Learning Resource Center (R),Dwg-03 AsBuilt/Record
CTY_LearningResourceCtr_AsBuilt_20020607.pdf,Learning Resource Center (R),Dwg-03 AsBuilt/Record
CTY_Skyroof_Submittal_20010612.pdf,Learning Resource Center (R),Submittal/Shop Dwg
CTY_Data-SecuritySystem_Submittal_20010326.pdf,Learning Resource Center (R),Submittal/Shop Dwg
CTY_FireAlarmSystem_Submittal_20010326.pdf,Learning Resource Center (R),Submittal/Shop Dwg
CTY_LearningResouceCenter_AsBuilt_20010327.pdf,Learning Resource Center (R),Dwg-03 AsBuilt/Record
CTY_LearningResouceCenter_Add1_20000301.pdf,Learning Resource Center (R),Dwg-03 AsBuilt/Record
CTY_LearningResouceCenter_Drawing_20010322.pdf,Learning Resource Center (R),Dwg-03 AsBuilt/Record
CTY_ScienceBuilding-Vol2-E_DSAApproved_20110615_4of4.pdf,Science Building,Dwg-02 Permit
CTY_ScienceBuilding-Vol2-P_DSAApproved_20110615_3of4.pdf,Science Building,Dwg-02 Permit
CTY_ScienceBuilding-Vol2-M_DSAApproved_20110615_2of4.pdf,Science Building,Dwg-02 Permit
CTY_ScienceBuilding-Vol2-S_DSAApproved_20110615_1of4.pdf,Science Building,Dwg-02 Permit
CTY_ScienceBuilding-Vol1-Q_DSAApproved_20110615_3of3.pdf,Science Building,Dwg-02 Permit
CTY_ScienceBuilding-Vol1-A_DSAApproved_20110615_2of3.pdf,Science Building,Dwg-02 Permit
CTY_ScienceBuilding-Vol1-GCLF_DSAApproved_20110615_1of3.pdf,Science Building,Dwg-02 Permit
CTY_SuperAerobicCircuitTrainingFacility_Drawing_19910624.pdf,Super Aerobic Facility (P2),Dwg-03 AsBuilt/Record
CTY_TrussJoist_Submittal_19910417.pdf,Super Aerobic Facility (P2),Submittal/Shop Dwg
CTY_ArchBeam-SiteRail-Ladder_Submittal_19910326.pdf,Super Aerobic Facility (P2),Submittal/Shop Dwg
CTY_SuperAerobicCircuitTrainingFacility_AsBuilt_19901101.pdf,Super Aerobic Facility (P2),Dwg-03 AsBuilt/Record
CTY_IndoorPhysicalEducationFacility-FEL_DSAApproved_20011016_6of6.pdf,Harry West Gymnasium (P3),Dwg-02 Permit
CTY_IndoorPhysicalEducationFacility-PM_DSAApproved_20011016_5of6.pdf,Harry West Gymnasium (P3),Dwg-02 Permit
CTY_IndoorPhysicalEducationFacility-S_DSAApproved_20011016_4of6.pdf,Harry West Gymnasium (P3),Dwg-02 Permit
CTY_IndoorPhysicalEducationFacility-A_DSAApproved_20011016_3of6.pdf,Harry West Gymnasium (P3),Dwg-02 Permit
CTY_IndoorPhysicalEducationFacility-A_DSAApproved_20011016_2of6.pdf,Harry West Gymnasium (P3),Dwg-02 Permit
CTY_IndoorPhysicalEducationFacility-GC_DSAApproved_20011016_1of6.pdf,Harry West Gymnasium (P3),Dwg-02 Permit
CTY_DaylightingInstallation_DSAApproved_20090116.pdf,Harry West Gymnasium (P3),Dwg-02 Permit
CTY_SoundReinforcementSystem_Drawing_20051020.pdf,Harry West Gymnasium (P3),Dwg-03 AsBuilt/Record
CTY_ModularCabinets-Lockers_Drawing_19701015.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_AdministrativeOffice-FireAlarmSystem_DSAApproved_20100726.pdf,Program Administration (E),Dwg-02 Permit
CTY_CollegeCenter-FireAlarmSystem_DSAApproved_20100726.pdf,College Center (D),Dwg-02 Permit
CTY_HandballCourts_AsBuilt_19730308.pdf,Handball Court Building (H),Dwg-03 AsBuilt/Record
CTY_GeotchnicalStudy-Addendum1_Report_20110622.pdf,Science Building,Report-Geotech
CTY_GeotechnicalStudy_Report_20100215.pdf,Science Building,Report-Geotech
CTY_ScienceBuilding-Vol1-Q_Add1_20010624_6of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol1-F_Add1_20010624_4of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol1-L_Add1_20010624_3of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol1-G_Add1_20010624_1of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol1-A_Add1_20010624_5of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol1-C_Add1_20010624_2of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol2-G_Add1_20010624_1of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol2-FA_Add1_20010624_6of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol2-M_Add1_20010624_3of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol2-P_Add1_20010624_4of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol2-E_Add1_20010624_5of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding-Vol2-S_Add1_20010624_2of6.pdf,Science Building,Dwg-05 Other
CTY_ScienceBuilding_Specs_20110615.pdf,Science Building,Spec-02 Permit
CTY_11260_HED_To3DEnterprises_Submittal321313.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_31 63 29-002-0 Drilled Pier Concrete Mix Design sdse resp 10.19.11.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMech_Submittal230593.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal030000.001.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal030000.002.1.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal030000.002.3.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal030000.002.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal030000.003.1.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal030000.004.1.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal076200.002.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal077200.003.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal079200.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal079200.003.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal083113.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal230500.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToALPHAMEC_Submittal230500.002.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230500.003.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230500.004.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230500.005.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230500.006.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230516.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230519.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230523.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230523.002.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230529.001.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230548.002.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230548.003.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230548.004.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230548.005.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230548.006.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230548.007.1.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230548.010.0.pdf,Science Building,Submittal/Shop Dwg
CTY_11260_HED_ToAlphaMec_Submittal230700.001.0.pdf,Science Building,Submittal/Shop Dwg
